,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,block_height,halving_period,months,years
1,69.0,2.0,2365.0,4.444065757819089,-83.47320249,-16673.95199999999,2437.3260672000006,0.0,-0.003035783272165345,-0.0002613461271006372,0.0,0.0,-0.74,-0.0637736,1.804913172746966e-05,100.0,0.8268251101106046,-35.26399999999978,100.0,-35.26399999999978,-114.79126469,0.0,0.0,-0.005040000000000003,0.0,0.0,8700.0,2175.0,8700.0,86.0,116.0,23063.180000000004,1776.9149720000003,38.167414970012594,2.838057093213382,0.7749999999999999,0.05329600000000001,25200.629999999997,1938.8463696000003,0.0,0.0,0.0,174.0,0.0,0.0,0.0
2,7.0,7.0,58171.0,290.4355115260041,-17.45849966,-20284.79501016962,1278.047191503727,0.0,-0.000149700598802395,-1.2095808383233515e-05,0.0,0.0,-0.05,-0.00404,6.317196104615986e-05,350.0,3.4463715653925817,-26.601654237288358,350.0,-26.601654237288358,129.85512467,0.0,0.0,-0.006064271186440692,0.0,0.0,9050.0,2262.5,9050.0,89.0,226.0,-24180.500000000004,-2051.1961828501708,-44.4223176554031,-3.847229653350013,-1.25,-0.10933837288135598,-13132.71,-1251.4578814535594,0.0,0.0,0.0,181.0,0.0,0.0,0.0
3,-152.0,26.0,-72434.0,-486.9246003149432,-6.749069589999998,16266.06630718906,1434.3702823502526,1.0231815394945443e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.00023463871245716,1300.0,13.367321133199226,143.28778270017585,1300.0,143.28778270017585,-48.90762056999995,0.0,0.0,0.004457133839859795,0.0,0.0,10350.0,2587.5,10350.0,-176.0,-361.0,4770.920000000002,449.418778300902,29.293499529159696,2.5093927931099755,17.125,1.3623063319696092,-4309.259999999998,-201.36978462255865,0.0,0.0,0.0,207.0,0.0,0.0,0.0
4,-190.0,-31.0,-24241.0,-31.37807422046501,-13.225212260000003,-71516.89732156636,930.7358009995805,-1.0231815394945443e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002797615417758398,-1550.0,-16.509719608580937,-305.11223717124506,-1550.0,-305.11223717124506,-61.39634904000005,0.0,0.0,-0.0207231022793688,0.0,0.0,8800.0,2200.0,8800.0,-26.0,-33.0,12214.879999999997,282.4528852440685,40.8922878755164,0.9025806952957298,-17.49,-1.4060135011104624,11696.810000000001,122.78982296028062,0.0,0.0,0.0,176.0,0.0,0.0,0.0
5,61.0,18.0,2251.0,-41.51019212745996,-1.9413605999999959,7986.1497884276905,1023.0218001761577,0.0,4.54545454545455e-05,2.754221348493706e-06,0.0,0.0,0.01,0.0006059286966686151,0.0001624421855472599,900.0,9.14489145104892,73.21694447691402,900.0,73.21694447691402,76.00448685999999,0.0,0.0,0.002123109292811197,0.0,0.0,9700.0,2425.0,9700.0,-1.0,-9.0,-13790.279999999999,-765.4259359981315,-49.5564728392917,-2.7634634382991647,3.99,0.24390989035651672,-17615.850000000002,-985.0738243301005,0.0,0.0,0.0,194.0,0.0,0.0,0.0
6,304.0,-5.0,184192.0,988.6066928489579,-6.119073950000004,-20635.744763880793,2063.736415772555,0.0,-4.54545454545455e-05,-2.754221348493706e-06,0.0,0.0,-0.01,-0.0006059286966686151,-4.5122829318680006e-05,-250.0,-2.87753954852991,-72.34783576855648,-250.0,-72.34783576855648,-92.52468291999998,0.0,0.0,-0.006052869666861499,0.0,0.0,9450.0,2362.5,9450.0,480.0,777.0,20145.72,982.1768651033315,-24.101089901213292,-1.6967614890451954,-4.95,-0.30023734833430754,22273.469999999998,1086.7285584459376,0.0,0.0,0.0,189.0,0.0,0.0,0.0
7,1171.0,42.0,457617.0,1704.7460317460307,-2.7771135299999994,-13429.489245938166,1235.2063567133737,1.0231815394945443e-12,0.00182903834066625,9.244072872649748e-05,0.0,0.0,2.91,0.14707319940385732,0.00037903176627695004,2100.0,21.48062758206092,68.34114196376368,2100.0,68.34114196376368,24.665285789999984,0.0,0.0,-0.003999381648159009,0.0,0.0,11550.0,2887.5,11550.0,891.0,1990.0,-8455.07,-584.9179801815319,-23.962810480822306,-1.3672993455542528,0.37,0.018500059707773214,3390.9100000000035,-2.320255907495266,0.0,0.0,0.0,231.0,0.0,0.0,0.0
8,-880.0,12.0,-501041.0,-2221.1211052322105,-1.7236899399999999,19872.310245938163,3285.000485815879,0.0,0.0047788911747522495,0.0002776033241369385,0.0,0.0,-1.4100000000000001,-0.06307319940385732,0.00010829479036484008,600.0,5.7952243195379936,96.65585803623628,600.0,96.65585803623628,-67.64727011,0.0,0.0,0.005459381648159012,0.0,0.0,12150.0,3037.5,12150.0,-1364.0,-2764.0,45839.74999999999,2735.990586381532,242.32468603954726,13.652587683497527,4.58,0.2587729402922268,40185.240000000005,2505.994572907495,0.0,0.0,0.0,243.0,0.0,0.0,0.0
9,-475.0,-77.0,-116927.0,-239.05617531856,-0.16049956999999893,9735.856563120906,987.6993159709418,59.649695958283985,-0.004021056928545911,-0.00021839636574239984,0.0,0.0,-0.83,-0.044723249035651676,-0.00020266796158539,-3850.0,-40.0380264428445,-193.83726417299823,-3850.0,-193.83726417299823,103.67605494,0.0,0.0,0.002622016364699012,0.0,0.0,8300.0,2075.0,8300.0,32.0,70.0,-53156.03,-2914.7712526111045,-175.36780746026255,-9.605457818856232,-4.0,-0.221377983635301,-53530.740000000005,-2909.9445652412624,0.0,0.0,0.0,166.0,0.0,0.0,0.0
10,-111.0,-7.0,655802.0,4158.180874441159,-0.5428742000000017,1490.495267387625,889.591134469425,3.0202377700399836,-0.0022197397197397228,-0.00013001948652268652,0.0,0.0,0.38,0.022579902746931647,-6.005662174284965e-05,-350.0,-3.797096997462404,-18.219500584453385,-350.0,-18.219500584453385,-94.68034779000001,0.0,0.0,0.00028908240794858764,0.0,0.0,7950.0,1987.5,7950.0,2601.0,-122.0,40877.21000000001,2414.9532750971966,148.1648865350336,8.752275802801918,0.885,0.05242540482174172,32364.92,1916.330570188196,0.0,0.0,0.0,159.0,0.0,0.0,0.0
11,-130.0,21.0,-580062.0,-3796.8337526205396,1.6734754400000007,39571.56816949148,748.3027330433652,0.0,0.001070670040783123,7.887422266497805e-05,0.0,0.0,-0.16000000000000003,0.0003543462887200255,0.00025493800850790024,1050.0,10.579840693767807,160.75676475745166,1050.0,160.75676475745166,173.09405602,0.0,0.0,0.010988901227352403,0.0,0.0,9000.0,2250.0,8999.970000000205,-2241.0,-7.0,-48929.78,-2711.2939774860924,-159.61640825124698,-8.62736589811508,8.115,0.5879525788135593,-46144.49,-2501.971033946933,0.0,0.0,0.0,180.0,0.0,0.0,0.0
12,48.0,2.0,-90892.0,-511.77423687424107,-1.50830968,-18037.592307422397,799.8268653820996,0.0,0.0006898566665521,3.706647386041518e-05,0.0,0.0,-0.5900000000000001,-0.0428137855055523,2.4279810334089207e-05,100.0,0.7885098464996929,-40.71782700175322,100.0,-40.71782700175322,-32.96527426,0.0,0.0,-0.005242618351840991,0.0,0.0,9100.0,2275.0,9100.0,-478.0,-60.0,2679.7400000000016,91.58209453606173,18.253270977561797,0.8100819192656497,1.5999999999999996,0.051025627118644334,-238.51000000000204,-118.68680613243714,0.0,0.0,0.0,182.0,0.0,0.0,0.0
13,-103.0,21.0,-15653.0,-140.5926487305801,0.019963739999999675,10973.843439567194,878.7742742560586,0.0,0.0011702127659574402,8.518852493875605e-05,0.0,0.0,0.010000000000000009,0.0015419831794272164,0.0002549380085078894,1050.0,10.464160482040413,97.20768632378679,1050.0,97.20768632378679,86.47116645999998,0.0,0.0,0.002888417299824586,0.0,0.0,10150.0,2537.5,10150.0,-47.0,-72.0,-5572.470000000001,-323.6536007278562,16.191885192433205,1.3503380080319989,-1.7400000000000002,-0.08402404949152609,-4017.199999999999,-215.1399067483585,0.0,0.0,0.0,203.0,0.0,0.0,0.0
14,143.0,36.0,7043.0,-41.79159882103187,-1.6039429399999996,-22294.571132144803,939.1894417287513,0.0,-0.0009591626630061803,-7.986226077217665e-05,0.0,0.0,-0.020000000000000018,-0.0032201976738749187,0.00043703658601355064,1800.0,17.985660241212003,44.55514067796639,1800.0,44.55514067796639,-228.2732816,0.0,0.0,-0.006445798947983597,0.0,0.0,11950.0,2987.5,11950.0,30.0,55.0,54604.07,3254.525540191795,1232.724842055638,74.64239043382258,-3.044999999999999,-0.2496050776271183,254787.88000000003,15468.006147880795,0.0,0.0,0.0,239.0,0.0,1.0,0.0
15,10.0,3.0,2919.0,6.715325564507964,-0.4727186700000008,-3216.399999999994,670.6519292815719,0.0,-0.00098387096774193,-6.160483870967707e-05,0.0,0.0,-0.07999999999999999,-0.0051189999999999986,3.641971550112991e-05,150.0,1.1129897868650005,-4.144999999999982,150.0,-4.144999999999982,3.6748471699999996,0.0,0.0,-0.0011000000000000038,0.0,0.0,12100.0,3025.0,12100.0,31.0,24.0,-4130.779999999999,-321.8678789999999,-1056.699205730311,-64.8734989081751,-2.9850000000000003,-0.1865965,-206707.55000000002,-12699.705406,0.0,0.0,0.0,242.0,0.0,0.0,0.0
16,356.0,-15.0,83847.0,398.313594495212,-0.37159166,724.8333638223703,912.232738502229,0.0,-0.0013548387096774198,-8.129032258064521e-05,0.0,0.0,-0.21,-0.0126,-0.00018209857750564997,-750.0,-7.974867122527002,-44.86208854471022,-750.0,-44.86208854471022,56.13497591000001,0.0,0.0,1.2150789012302377e-05,0.0,0.0,11350.0,2837.5,11350.0,269.0,528.0,-31256.63,-1875.010135394972,-224.89022581629587,-13.492730915556077,3.9450000000000003,0.23679447238457058,-21162.060000000005,-1269.208894400057,0.0,0.0,0.0,227.0,0.0,0.0,0.0
17,-273.0,16.0,-73981.0,-359.51529160095,-0.77577477,-10116.51518731733,834.72815712597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019423848267269023,800.0,7.681707744358988,11.6038185271766,800.0,11.6038185271766,139.48286985,0.0,0.0,-0.0029963705435418,0.0,0.0,12150.0,3037.5,12150.0,-231.0,-433.0,-17572.449999999997,-1097.5045916535373,42.67057524975829,2.2645595276362434,-2.7750000000000004,-0.18151557115721806,-10628.759999999998,-732.9328512106965,0.0,0.0,0.0,243.0,0.0,0.0,0.0
18,110.0,-25.0,88023.0,458.455355457395,0.36622241000000066,15086.18182349496,709.6988038744967,17.331098665813016,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001156833070672103,-1250.0,-12.934987699297992,-27.841729982466404,-1250.0,-27.841729982466404,-132.66341463999998,0.0,0.0,0.0039842197545294986,0.0,0.0,10900.0,2725.0,10900.0,108.0,183.0,15949.949999999999,1030.0489070485091,-17.644438139741908,-0.6824676249331247,-4.49,-0.2539689012273525,9196.890000000003,687.4339256107535,0.0,0.0,0.0,218.0,0.0,0.0,0.0
19,-185.0,-71.0,-75625.0,-62.72864007988596,-0.16924822000000006,2890.493347165466,771.8740604845079,90.61688730982308,0.0108450704225352,0.0006688297544471972,0.0,0.0,2.31,0.14246073769725312,-0.00026092743611171986,-3550.0,-35.83997501426221,-211.61583459964908,-3550.0,-211.61583459964908,83.27498250999999,0.0,0.0,0.0006713150204558996,0.0,0.0,7350.0,1837.5,7350.0,-88.0,-153.0,-12376.07,-742.9197636620681,-23.504742572242492,-1.3950533683083646,1.49,0.0922326300409118,-20674.730000000003,-1247.5622190619522,0.0,0.0,0.0,147.0,0.0,0.0,0.0
20,-140.0,8.0,-47564.0,-351.89870528856704,-0.5970547499999999,-9246.211231443798,663.7442660924644,9.094947017729282e-13,-0.0108450704225352,-0.0006688297544471972,0.0,0.0,-2.31,-0.14246073769725312,0.00014004822924693983,400.0,3.848055880543214,3.996408825248011,400.0,3.996408825248011,40.64877394000001,0.0,0.0,-0.0026673699590882977,0.0,0.0,7750.0,1937.5,7750.0,-100.0,-189.0,-2953.5,-222.02983816288793,86.17442070275399,4.930719358561545,2.875,0.16430160213325534,3054.66,126.21408019725277,0.0,0.0,0.0,155.0,0.0,0.0,0.0
21,81.0,44.0,24419.0,7.592446101476071,0.048266260000000116,7518.212884278328,741.5859250786198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007702652608581602,2200.0,21.755397765786498,148.67442577440113,2200.0,148.67442577440113,129.55990074,0.0,0.0,0.0018960549386324022,0.0,0.0,9950.0,2487.5,9950.0,78.0,152.0,-5161.8099999999995,-286.00363817504365,-111.67586026578599,-6.528263113243779,-4.4,-0.25871673217416713,-13197.07,-759.5084851353007,0.0,0.0,0.0,199.0,0.0,0.0,0.0
22,201.0,-9.0,192300.0,1037.1267389579448,0.8038308599999997,35396.524999999994,1539.3384123490905,0.0,0.0183829787234043,0.0012941617021276627,0.0,0.0,4.32,0.304128,-0.00015755425790279966,-450.0,-4.739038999254305,62.844999999999914,-450.0,62.844999999999914,-318.6078364,0.0,0.0,0.009500000000000001,0.0,0.0,9500.0,2375.0,9500.0,44.0,50.0,57131.88,4115.095052,178.43624623783901,12.86781294533495,9.545,0.6764805,66560.8,4781.9333000000015,0.0,0.0,0.0,190.0,0.0,0.0,0.0
23,-192.0,1.0,-205939.0,-1086.4102507577818,-0.39698119999999903,-3227.427101694979,879.0257738743458,0.0,-0.0183829787234043,-0.0012941617021276627,0.0,0.0,-4.32,-0.304128,1.75060286558594e-05,50.0,0.25076892490790215,-6.615139830508724,50.0,-6.615139830508724,113.32768637999999,0.0,0.0,-0.0010612711864406987,0.0,0.0,9550.0,2387.5,9550.0,-84.0,-149.0,-45062.0,-3195.564697545763,-53.81218757986204,-3.9548109956104636,39.980000000000004,2.7615284406779645,-42954.44,-3059.7756688474597,0.0,0.0,0.0,191.0,0.0,0.0,0.0
24,134.0,42.0,26570.0,27.70042469046996,-0.5459413900000012,-7813.342898305011,940.8108123729507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007352532035464318,2100.0,20.493692302884895,118.36513983050872,2100.0,118.36513983050872,-90.55430207999999,0.0,0.0,-0.0023387288135593015,0.0,0.0,11650.0,2912.5,11650.0,33.0,44.0,25680.12,1669.4423055457632,57.88759001526404,3.511699288452725,0.0,-0.11693644067796471,21893.15,1387.9856628474581,0.0,0.0,0.0,233.0,0.0,0.0,0.0
25,-113.0,-16.0,-7143.0,4.439488934159044,0.15994425000000057,11818.25,833.2111273703413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00028009645849388183,-800.0,-8.236616477208997,-21.049999999999955,-800.0,-21.049999999999955,198.45153165000002,0.0,0.0,0.0030000000000000027,0.0,0.0,10850.0,2712.5,10850.0,36.0,105.0,-34144.85,-2247.5177000000003,-160.3476551826551,-10.580200534600529,-45.375,-3.02625,-35821.81,-2340.69565,0.0,0.0,0.0,217.0,0.0,0.0,0.0
26,176.0,-2.0,54666.0,259.014767977708,-0.9302477300000005,-19640.67499999999,1148.2306378641406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5012057311729645e-05,-100.0,-1.294959535855,-66.125,-100.0,-66.125,-122.78858089000002,0.0,0.0,-0.005500000000000005,0.0,0.0,10750.0,2687.5,10750.0,27.0,53.0,10806.619999999999,623.3503650000001,17.80633475637069,0.8495059269507452,10.375,0.64375,10306.54,555.9348600000001,0.0,0.0,0.0,215.0,0.0,0.0,0.0
27,-223.0,66.0,-26787.0,-276.20552842837003,0.08426840000000002,10197.701455990697,984.671622966518,1.0231815394945443e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.00115539789128724,3300.0,31.963026927478992,247.92489298655812,3300.0,247.92489298655812,216.99160772000002,0.0,0.0,0.0024964336645236923,0.0,0.0,14050.0,3512.5,14050.0,-91.0,-204.0,-14148.439999999999,-887.4754106872352,3.6590279325834985,0.42531057719442433,35.0,2.382321683226185,-13943.400000000001,-859.0277023093865,0.0,0.0,0.0,281.0,0.0,0.0,0.0
28,-92.0,-74.0,-48222.0,-56.394381694088,-0.3854001199999999,-6317.623989889078,858.9412165685244,41.63799787528296,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008669900475819902,-3700.0,-36.566704565919,-267.3292946814737,-3700.0,-267.3292946814737,-70.69276100000002,0.0,0.0,-0.0018785014611338996,0.0,0.0,10350.0,2587.5,10350.0,-26.0,-34.0,2407.6399999999994,137.8942160950313,42.877667269913914,2.649659234642102,0.0,-0.09392507305669495,5096.9000000000015,301.5586341676908,0.0,0.0,0.0,207.0,0.0,0.0,0.0
29,288.0,-60.0,60882.0,592.735679779163,-0.12812160000000006,1907.3975338983582,867.5045627016152,117.97432731330701,0.00224832214765101,0.00014726510067114115,0.0,0.0,0.67,0.043885,-0.00031246514926768897,-3000.0,-29.480147719707986,-192.5455983050844,-3000.0,-192.5455983050844,-219.21945277,0.0,0.0,0.0003820677966102082,0.0,0.0,7350.0,1837.5,7350.0,168.0,265.0,34119.62,2239.5962745922034,28.940957270119,1.9409868807553403,-10.005000000000003,-0.6362241101694899,44307.17999999999,2910.238688141694,0.0,0.0,0.0,147.0,0.0,0.0,0.0
30,-274.0,-18.0,-63395.0,-347.6799557032159,0.3714836300000002,17279.70000000001,603.5713682566275,0.0,-0.00224832214765101,-0.00014726510067114115,0.0,0.0,-0.67,-0.043885,-0.0004579272067896708,-900.0,-8.892758042857402,-29.92500000000001,-900.0,-29.92500000000001,17.133313209999997,0.0,0.0,0.004500000000000004,0.0,-18.452935694315,6450.0,1612.5,6450.0,-110.0,-158.0,-8126.5,-359.23964499999965,21.028570213569992,2.136416401436387,-37.419999999999995,-2.4394225,-17314.229999999996,-916.9951799999985,0.0,0.08908916109266378,0.0,129.0,0.0,0.0,0.0
31,223.0,4.0,173917.0,1287.118552194436,-0.36189433000000015,-7039.899999999994,782.9430963150298,0.0,0.00675324675324675,0.000459220779220779,0.0,0.0,1.56,0.10608,0.0001017616015088099,200.0,1.8338990016073993,0.6999999999999886,200.0,0.6999999999999886,27.07126572,0.0,0.0,-0.0020000000000000018,0.0,2.611351535899164,6650.0,1662.5,6650.0,43.0,85.0,-8309.11,-641.92886,-69.2116109362333,-5.043742900307222,-1.5750000000000002,-0.11224999999999999,-11339.989999999998,-867.6023799999998,0.0,-0.00047063267578002776,0.0,133.0,0.0,0.0,0.0
32,-238.0,2.0,-177592.0,-1344.67669172932,-0.21627996999999954,-4428.2850000000035,475.057492812899,0.0,-0.00675324675324675,-0.000459220779220779,0.0,0.0,-1.56,-0.10608,5.088080075440994e-05,100.0,0.854755175696198,-1.974999999999966,100.0,-1.974999999999966,122.70565396,0.0,0.0,-0.0013000000000000095,0.0,5.089392480984323,6750.0,1687.5,6750.0,-41.0,-92.0,-14936.930000000002,-1035.482485,-26.7750673854447,-1.9152015822102397,0.0,-0.0013000000000000095,-16621.030000000002,-1156.594703,0.0,-0.0010085112304433208,0.0,135.0,0.0,0.0,0.0
33,185.0,58.0,30434.0,-30.134715025906985,-0.23755532000000024,-3879.265000000014,704.2521605798902,-9.663381206337363e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.00147554322187784,2900.0,27.915838973902297,181.85000000000002,2900.0,181.85000000000002,-69.50055374000002,0.0,0.0,-0.0011999999999999927,0.0,-6.53833450716262,9650.0,2412.5,9650.0,40.0,65.0,6002.890000000001,374.93891500000007,13.627325581395397,0.8053618255814001,0.0,-0.0011999999999999927,9412.650000000001,592.191963,0.0,-0.0007502484081729904,0.0,193.0,0.0,0.0,0.0
34,-130.0,-20.0,-21781.0,-57.13118092784998,-0.07637278999999975,3966.5500000000175,1024.9908117278173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005088080075440803,-1000.0,-9.875811919374414,-57.71500000000003,-1000.0,-57.71500000000003,-65.05335078999998,0.0,0.0,0.000899999999999998,0.0,30.853502285774205,8650.0,2162.5,8650.0,-62.0,-85.0,12327.419999999998,837.6310740000001,64.11078252671261,4.334641552796969,0.0,0.000899999999999998,9267.719999999998,642.1004520000001,0.0,-0.020525985298379998,0.0,173.0,0.0,0.0,0.0
35,60.0,39.0,6932.0,-66.22467008397899,-0.20206904000000048,-1080.5149181765737,1025.4250928114488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009921756147109597,1950.0,18.554015938387906,124.48728229105757,1950.0,124.48728229105757,154.07091871,0.0,0.0,-0.0004710111046171972,0.0,-4.756462632088425,10600.0,2650.0,10600.0,-15.0,-40.0,-19334.879999999997,-1290.5263114108716,-59.020847834135424,-3.9620381308182626,4.0,0.263244944476914,-18942.69,-1267.2234057843368,0.0,-0.00023948579091699618,0.0,212.0,0.0,0.0,0.0
36,69.0,1.0,4267.0,17.819204535388906,-0.19073099999999954,-3168.9950818234356,683.7227386261657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.544040037719998e-05,50.0,0.19408456606701918,-7.55578229105754,50.0,-7.55578229105754,-4.403219890000003,0.0,0.0,-0.001018988895382808,0.0,10.207054554377363,10650.0,2662.5,10650.0,4.0,13.0,279.0400000000009,3.6386866108712184,-13.924113722248492,-0.9969572048876962,20.0,1.2931050555230859,-2042.0999999999985,-152.95102431566352,0.0,-0.0031002445087719155,0.0,213.0,0.0,0.0,0.0
