time,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,block_height,halving_period,AdrActCnt2,S2F
2018-04-01,209.24158062420383,-17.966903073286055,169.65321867052614,228.99395112441798,0.6639638470836262,2073.8547686109014,2058.907393667446,65949.74385709876,-30.334987721165728,1027.8792914894045,-80.91000000000001,209.12966360766575,94.82393811753309,3071.5299828801085,54414.39175062859,-58.98345153664303,-69.50248430089302,563.0155399376395,-58.98345153664303,563.0155399376395,0.5914493934262799,-12.609637481194225,0.0,1516.4147054975952,118.95940359016058,2.7325081681394803,34.39079775625458,3.856858573812283,15.598334705131677,178.6432392122925,150.51926742908566,30.22352794740806,2009.3474369127907,-57.18349800099525,594.4517073044285,-68.68959367029514,408.0828320633414,8.779696634043344,1669.9119599196567,-19.203688307444168,-2.3419352084833034,17.980405921083985,75.23695073597305,100.0,856.3035518695596,227.65018703686272
2018-04-08,222.77279083015412,-1.5205724508050134,175.30475794324883,177.91145909541783,1.8453179770074657,2091.9806014081564,2052.420321379094,57272.838289890286,-32.86364053234413,988.0947066823477,-80.74714285714286,213.12725545863876,84.7363806128197,2897.3906063822205,56400.442716609425,-50.76028622540251,-63.331394192202374,706.2670273712911,-50.76028622540251,706.2670273712911,-11.602603948934897,-6.653464166425027,0.0,1532.260927167061,125.18812583474772,2.2277784566803183,34.20254175551334,3.8373580259924323,15.486512755146386,179.6934937246285,156.0200430888999,43.04457492158556,2277.759338448719,-47.80813005277636,766.2367964180603,-71.11197646546955,371.69390314896617,34.32821701592865,2134.4804729806997,-19.588236789372427,-10.94487995670197,1.3004610336430522,74.94673547653994,100.0,941.8227450028645,172.5493945189172
2018-04-15,239.66240676782968,-9.083333333333332,213.68588380678543,245.68055821552264,-5.639195315790091,1916.0241976940054,2036.3981847112707,55109.613570718815,-35.9262004987427,870.6999942253051,-68.37285714285716,386.2122140470842,94.54952795827897,2848.7755588355267,50152.117826857575,-54.541666666666664,-66.09670172843009,584.3002805865834,-54.541666666666664,584.3002805865834,-9.15534078656185,-6.0918544883767805,0.0,1403.5882317509456,21.678391233759253,-22.870100941501814,33.99245012604935,3.814994118107129,15.469438770283062,200.58536652631966,167.78262222360866,43.95720414043913,2039.1159271971762,-58.612652944272355,517.8814663682044,-66.0925255233841,407.2075875614584,11.790371145059142,1573.0095937621552,-21.118863705163214,-33.468175146392156,-17.671702669828516,74.60709882988542,100.0,1053.7055057131458,194.75882704172176
2018-04-22,284.42814147637125,-5.6749785038692995,203.60625999236598,223.00299016756261,10.163736410062096,2255.862995292656,2038.1867398125476,54913.66188925207,-33.6941829783264,1068.3798700410025,-79.76857142857143,256.38912530808534,100.2383790317559,3408.6619740961737,51791.64840284565,-52.837489251934656,-64.77222633074393,730.7357337416081,-52.837489251934656,730.7357337416081,-27.064539464779212,14.397839009199597,0.0,1659.615119243631,131.86389451768324,-87.49755141923686,33.793684447732964,3.793968582404328,15.426251809397119,201.41491262626153,185.85511492101344,69.53209275121407,2853.9598121729623,-43.38485048056341,881.3019726870333,-57.42134036323445,641.0209139935938,62.02469645157349,2706.5414217190155,-20.266794969879818,-33.056182008132794,-20.73099730974387,74.29384312396623,100.0,1377.8499595897688,183.6865177989306
2018-04-29,322.15672313100924,-7.889908256880728,259.1340716954689,290.64843681386805,27.549150976748926,2654.9205715418548,2059.8377942245584,50513.44801243274,31.517792383910525,2604.066408039288,-7.082857142857179,1806.6737957456126,372.631783393466,9619.139473750885,46575.36407020972,-53.94495412844036,-65.5498887483146,849.465645634553,-53.94495412844036,849.465645634553,-29.564994899233444,32.96701255218595,0.0,1960.7426348075894,120.03758529459003,-739.9296230733884,33.605848455452026,3.7738918726481385,15.005289202354932,257.8032075713492,230.86700612066016,82.12474285641052,3647.282453413905,-49.402586966976926,943.4429869247298,-63.46443411049856,650.2267990549985,69.72053787959285,3400.352206307989,-19.783992623078895,-21.172447386155635,-14.755738335350255,73.99439071760708,100.0,1682.1629888471157,190.10034823992567
2018-05-06,305.4556033833256,-9.24956369982548,223.82369118743188,253.91183888085283,31.593544153756724,2762.829544851042,2075.3934618312155,50170.25963936684,-13.105416864676023,1763.2327635423512,-66.23714285714286,625.5249293109994,174.63670395615378,5795.644277193086,45520.47995195594,-54.62478184991274,-66.0091026771594,872.2279419734444,-54.62478184991274,872.2279419734444,-24.566129853550787,34.69888495203739,0.0,2044.522311232533,86.2866780934221,1761.1875225522515,33.4077007764906,3.7525503094173462,15.038596759795864,216.90020449628818,201.57349994664898,76.23696114031434,3686.4369625769177,-72.17917632913604,494.98514301000273,-62.244762321703305,710.4977912539914,-14.702652549519335,1725.9569523673842,-18.55208013564097,-20.564097520953695,-10.241181657480302,73.67670908079775,100.0,1543.9424631493662,194.0100482497274
2018-05-13,291.4405486921488,-11.082693947144072,208.7682775517272,250.24574393691447,22.49652551465182,2571.9727719149337,2081.2573669366748,46267.65145734811,-11.801760316355981,1666.468981161268,-60.97857142857145,681.3762578168424,169.32798643397916,5307.2946717599825,41114.11599030738,-55.54134697357204,-66.6454320801356,791.6014459815573,-55.54134697357204,791.6014459815573,-38.39492504767919,23.224898846327726,0.0,1904.598894396522,44.7258391892992,-523.4929509509751,33.20370220494975,3.730379363909031,15.119407932693129,205.31504566435328,197.59354216378128,111.5357060337543,4148.085259858865,-58.252835103413204,736.733595122243,-62.6170122168259,650.9999458630192,25.72823981043566,2421.4428136322517,-16.75232299174757,28.275854327076356,-15.939340252358624,73.34691142616414,100.0,1432.2570316041051,199.61254589914873
2018-05-20,255.3383926412935,-11.689419795221845,172.91027202760128,213.6241572000952,-0.44753255658507296,2073.1004637937576,2083.386915694555,44950.70963910643,12.285046254636512,1723.9429488825535,-40.92857142857144,859.8303253401799,238.89223161765764,5418.102231194571,39762.9298390074,-55.844709897610926,-66.82231903798848,621.9515699017393,-55.844709897610926,621.9515699017393,-10.298344950142212,1.617050200636183,0.0,1532.9529527722766,9.800839902213742,-55.94371235040223,33.000116369303356,3.708130578964819,15.05906933377652,197.8393421774692,179.4415566688266,61.62035435091147,2521.740997652164,-73.20477800967367,335.71420653520124,-68.32330652224819,424.19469286133904,-24.14491720315216,1134.4502472796235,-11.130185084097011,25.84927025555821,-23.375103447391233,73.0175985831257,100.0,1162.6537328489806,201.2099253813015
2018-05-27,230.02259246906527,2.0128087831656094,169.07439585954864,162.96793276163712,-20.474142379842743,1601.0084095234731,2039.2399748707358,40311.68388507201,-23.188729851943624,883.5566308614851,-78.05142857142857,181.4126812980434,130.92271401252242,2876.642182687132,41148.00595298121,-48.993595608417195,-61.620535444081746,550.8788890780928,-48.993595608417195,550.8788890780928,9.060154664985621,-16.383261362095425,0.0,1179.934741383429,-32.29993771134054,-146.32633022150455,32.82566695768389,3.6871299371968203,15.129005799006801,199.98558246828142,175.93387525440153,26.934406604166817,1527.8859481697384,-70.90021923476485,271.8868039774957,-68.33240867632703,310.1244164128818,-20.246424583782876,922.8553049718151,-9.196446348230436,7.24364285324246,-15.59862482367096,72.76208223724284,100.0,989.1491154000272,160.40978293228426
2018-06-03,245.83968451639683,-1.2345679012345734,213.36054312447493,215.67782904581114,-27.968646602680025,1406.240712743443,1991.058094249791,38920.45546576931,-37.67224957767999,604.0344266848778,-80.27142857142857,123.25617074433816,97.97170163888995,2133.8818478552407,38669.660247573236,-50.617283950617285,-62.791887384637214,460.2743537094505,-50.617283950617285,460.2743537094505,-22.695648433647975,-30.26372203651786,0.0,1034.9734672731554,-52.27262338785442,-140.86659911891422,32.64188033275887,3.658605124207681,15.048348535538913,216.7712907958063,187.83789037190618,64.4385413625653,1758.4922287725146,-64.69100630391138,299.6480998231053,-64.61842397718996,300.37528637248647,1.4413490398291984,1047.584589051629,-3.975945790553481,-13.372128956266094,-20.403019523734123,72.48683843668509,100.0,1096.050873864009,168.59980767383672
