time,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,block_height,halving_period
2010-07-25,0.00040773691687312485,8.600945769970435,0.0034438577647626367,0.000896542836323011,-17.894306056089857,-6.105240377696219e-07,1.3057188574805423e-07,0.0,-3.983627649322919,-6.442581602533748e-05,0.0,0.0,0.0030854272768239266,9.279865209599336e-09,4.623634808353927e-12,3.2590339172323093,0.4998565908488972,6.99564174473366e-05,3.2590339172323093,6.99564174473366e-05,-1.9397485188722463,0.0,0.0,-3.356507089158356e-06,0.0,0.0,0.016200099528456136,0.023496962620062067,0.023780255843927733,0.004068910100578194,0.0029798464611812125,0.19222837383114588,1.000318872623751e-06,0.22622700656271494,-2.782970445647237e-06,0.5831465869156787,0.0028382582456343286,0.02105875086199349,4.4274599686477956e-07,0.0,0.0,0.0,0.007805336874723512,0.0
2010-08-01,-0.0008774565915337096,0.14577874186390583,-6.792666745658593e-05,0.0003206331448242228,-3.1629080454038965,-5.837715244538799e-08,2.0811426559852464e-07,9.36450916810827e-12,3.2891603764471213,3.707484922821358e-05,0.0,0.0,0.002887280570972761,1.699692625534155e-08,1.2713941011099905e-11,0.055237863003937626,-0.023569812828771575,-2.519102201725687e-06,0.055237863003937626,-2.519102201725687e-06,0.21923622526571185,0.0,0.0,-5.231960663598656e-07,0.0,0.0,0.016439745971184916,0.0238445508245011,0.024132024223162407,0.0006859286522764574,-0.0022582409252680513,0.083103282361082,3.33108563732587e-07,4.383077466390387,0.002587097722907661,0.6249818068129347,0.0021946104194870975,0.023232249568073793,4.372751711834155e-07,0.0,0.0,0.0,0.007920800437959175,0.0
2010-08-08,-1.0541285337950512e-05,0.4300472884985216,-0.0016263692140618957,-0.0015288261423345162,-0.480500591074301,-3.9065044865616017e-08,1.1797320176309967e-07,1.0214717960366215e-11,-1.289758428322529,-1.4153253332538362e-05,0.0,0.0,-0.0035241806969227296,-1.662734766538776e-08,1.5142886944374823e-11,0.1629516958616155,0.11383486643673191,2.4405995291409965e-07,0.1629516958616155,2.4405995291409965e-07,1.5383767550491458,0.0,0.0,-4.049583280929525e-07,0.0,0.0,0.01714670297723453,0.024869936027595685,0.025169782627707527,-0.0031893349240197377,0.0003663984953083954,-0.10149668992709016,-5.047796434176632e-07,-3.577891489075764,-0.0021948401670901507,-0.7892305179747744,-0.004115198378836116,-0.025119308187656952,-5.116673279514927e-07,0.0,0.0,0.0,0.008261417949503969,0.0
2010-08-15,-0.00014799964614553573,0.7507605205991141,0.00018337552000136093,5.038222387487856e-05,-0.13590638650458697,2.936811317466592e-07,1.3611356741716207e-07,1.1450729253681402e-11,1.214896506007579,1.9399087628158007e-05,0.0,0.0,0.002547600503799541,1.6486686016392582e-08,2.435018853219617e-11,0.2844749944702776,0.25782235247191565,1.7161266128828956e-05,0.2844749944702776,1.7161266128828956e-05,0.15835746570046716,0.0,0.0,1.2704335594637683e-06,0.0,0.0,0.018380882157286837,0.02666001528045525,0.02698144413061021,-0.00031146760230926773,-0.00030216927700732477,0.014850793716363997,2.1376551462282123e-07,0.383150164632998,0.0004146723143365616,7.4641307987123415,0.03760067196003425,0.0018974290725058962,1.009381578320756e-07,0.0,0.0,0.0,0.008856055300167087,0.0
2010-08-22,-0.00014167487494254338,-3.003042082396457,-0.0002629190158365269,0.00037144012429135564,-0.2028818307165181,1.346617894970592e-08,1.2040965180482033e-07,2.7005064850982308e-11,-1.8433307027669594,-2.4520703784169928e-05,0.0,0.0,-0.002958047251633844,-1.705026941856147e-08,4.366618178153203e-12,-1.1378999778811114,-1.5105282300583114,-2.7489325465257508e-05,-1.1378999778811114,-2.7489325465257508e-05,-1.2711993976420728,0.0,0.0,-1.2584064756904212e-07,0.0,-0.09079947736223132,0.013444165437076716,0.019499698269016097,0.01973479811899903,0.00015748361914513787,9.293773254182014e-05,0.00306044877672762,-3.1591549376486228e-09,-0.21809544570207873,-0.00016562358727945092,-6.478092854960035,-0.032368033944654595,0.0005734997346139581,3.93974686208054e-09,0.0,2.3744296504382096,0.0,0.006477505897514613,0.0
2010-08-29,-0.00013239854384483607,1.7129002169008916,-0.00032201609926141295,-0.0006749648687882637,-0.15477522698802282,-3.6529760105707965e-08,1.1021596912907938e-07,8.593348255203637e-12,-0.3969291518143916,-5.5216872448249354e-06,0.0,0.0,-0.0016842454428672715,-9.136020218125651e-09,3.062528008968002e-11,0.6490448902962649,0.732128730607243,1.2326571903420458e-05,0.6490448902962649,1.2326571903420458e-05,3.7217854043893346,0.0,0.0,-3.697588717432865e-07,0.0,0.25976868116607865,0.01626001113913844,0.023583859671171936,0.02386820057707828,-0.0004969483093022475,-0.00032649852636401633,-0.10001337471521565,-5.779452258991569e-07,-0.608804798389635,-0.0004404898664550627,2.2401850793679015,0.010602102028484106,-0.012258523733922777,-2.825356586466654e-07,0.0,-0.44538281931437024,0.0,0.007834202765532483,0.0
2010-09-05,4.21651413495816e-06,-1.465076355732252,2.2984283351679125e-05,0.0002481911412997029,-0.1034819643065461,-5.1973632952950766e-08,8.492830139150698e-08,1.1021739076966242e-11,-0.744698371125897,-8.899216287494571e-06,0.0,0.0,-0.0005661342944889292,-2.9953022839812604e-09,-5.42832445660224e-12,-0.5551405231895712,-0.7427816154961566,-1.5247238842830413e-05,-0.5551405231895712,-1.5247238842830413e-05,-3.6903534874637383,0.0,0.0,-4.0918695087821533e-07,0.0,-0.1416434881109677,0.013851564389715687,0.020090598216562228,0.02033282230442346,0.00020064579624401446,0.0001420828162417287,0.12351968778775735,6.076950465061515e-07,2.0221577785767035,0.0012057405498264728,3.251869831839832,0.013919015634341614,0.017142392901539405,3.429876408445054e-07,0.0,-0.40742917768996995,0.0,0.006673793955014995,0.0
2010-09-12,-9.950973359051929e-05,-0.17493449023668678,-0.00024390043168631692,-0.000184191077770679,-0.06606911613469457,1.1788201637052964e-08,8.754075975225817e-08,1.0894285473739274e-11,-0.37301312688425287,-4.376756230162204e-06,0.0,0.0,-0.0005378267730243858,-2.6908556494120717e-09,9.576672788114138e-12,-0.06628543560472488,-0.13451061365021344,-1.9525439020062763e-06,-0.06628543560472488,-1.9525439020062763e-06,3.395207126673031,0.0,0.0,-9.422793934010798e-08,0.0,-0.1249188041810419,0.013563988658441328,0.019673492371235834,0.019910687585300568,-8.165817288996458e-05,-4.9145083699908554e-05,-0.059861319577356076,-3.120002485257345e-07,-1.3144814080796137,-0.0008181553151616061,-6.286196520213926,-0.028736104095960835,-0.011285433769904984,-2.3475964394670257e-07,0.0,-0.36098913412624134,0.0,0.006535237679132333,0.0
2010-09-19,0.0005599530771538408,2.0700581344674607,0.0004959286709178556,0.00012090284425081421,-0.06801484944457953,3.055324659939629e-08,1.1861242377175785e-07,9.48718881232935e-12,-0.031393184239546845,-3.616753485036206e-07,0.0,0.0,-9.963507052990206e-05,-4.835772338118716e-10,4.678724074835827e-11,0.7843776546559116,0.8572249182199263,1.6534497841447227e-05,0.7843776546559116,1.6534497841447227e-05,-4.915496525519369,0.0,0.0,-2.164945756000236e-08,0.0,-0.029480487182518333,0.01696696814518761,0.02460924487426608,0.024905948428255442,0.00035113014342713633,0.00020533886456863826,0.1251325365312954,6.39742124275422e-07,1.2634081360310787,0.0007696069019972329,4.826874914841346,0.021866429813800603,0.018371406372491794,3.774289201174952e-07,0.0,-0.2927222331330144,1.3645917643913184,0.0081748202770775,0.0
2010-09-26,0.0005557365630184385,0.051022559652366795,0.0008212704845345087,0.0006251550743239243,-0.048853061118374175,6.512586170348555e-08,1.22183349438032e-07,3.136446657947545e-11,-0.22266280640900415,-2.4663493843335438e-06,0.0,0.0,-0.00026835223504118044,-1.280218819843526e-09,4.437838985182907e-11,0.01933325205137848,-0.05732356927783622,1.338794628491513e-06,0.01933325205137848,1.338794628491513e-06,1.3209886621078009,0.0,0.0,1.1431777902082274e-07,0.0,0.053634266893010485,0.017050844400142928,0.024730900745820072,0.025029071054666563,0.001395188211092746,0.0009138066058291816,-0.009858621995551653,-3.559285965959447e-08,-1.9579274598400473,-0.001186625602068725,-5.559536939824612,-0.02518778110558606,-0.007260729502449825,-1.4302797801679645e-07,0.0,-0.027527579527794832,0.372310985428421,0.008215232524209748,0.0
