time,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,block_height,halving_period,AdrActCnt2
2017-11-30,547.6976692998703,-15.755007704160251,364.374179624793,439.8778524186768,-29.241251575982087,1877.6490191263633,2850.2664596133804,257255.21993755252,67.43258528070706,2987.5711968127025,562.6270000000002,8755.385767182139,739.7453504177248,14093.272713686736,217994.66318903386,-57.877503852080125,-69.71386140761376,515.5556962033016,-57.877503852080125,515.5556962033016,7.478028654813507,-48.4848061322108,0.0,1324.2175400658332,-78.58976859666166,-80.2473497523167,38.57620442387193,4.2884215979163365,15.580141162279348,377.4333709514522,435.46329991257426,20.955826130725754,1486.742907556607,-68.61154309433752,286.4578652351747,-80.20675680653659,184.25521694437688,57.27258091158354,1706.5783283458793,8.25403830090259,-28.697584821379618,-23.301933499232685,82.43949718045114,100.0,4095.1227081648426
2017-12-31,630.1237624943757,-10.452279202279202,435.1265260893739,495.1782882821302,16.122634822249893,2554.314359680257,2194.2142880092383,177552.9471235223,607.0908123728132,13593.8501347054,983.001929260451,21052.402716432352,3770.1599902872636,74249.27844148611,158786.7993475946,-55.2261396011396,-67.55920454534719,761.0687559780738,-55.2261396011396,761.0687559780738,-18.319792625390818,10.355008534488853,0.0,1822.2391328368005,-69.81011953284208,-6.594484914324939,37.4965941794138,4.181075224474817,14.654186075005349,479.62225326343014,516.801420487109,57.11204162149293,2933.212313818441,-70.48524491997517,474.43759589005896,-54.11023587813663,780.7772890144857,79.28975763073798,3381.3250367704427,-18.771737809596857,-45.14981246314974,-42.35442304647646,80.56294964028777,100.0,5230.807085589434
2018-01-31,620.5135416197365,-7.620614035087714,474.8460291020813,514.889170070621,-14.049647981673596,2056.286683356264,2410.0636293904604,126296.60446750486,574.1012456228705,10819.846393087286,776.1670967741941,14186.178080389765,3329.6905668853065,56528.31520719293,117076.33529137932,-53.810307017543856,-66.27805625364347,626.1803520920012,-53.810307017543856,626.1803520920012,-35.7109423553264,-16.360812959136428,0.0,1474.4817544635457,-74.8771762451167,-268.40321688385166,36.48410139367313,4.0793370337917745,14.806939076646097,389.54059879181926,437.20365446188873,114.2751277328392,3325.3723266809516,-60.22795156266876,527.3263488245913,-29.115790143764443,1039.0622323475209,116.16144981590809,3406.960161799357,-19.65497285175616,-6.10887501518016,-31.31782267608598,78.86069876389908,100.0,5091.397636574158
2018-02-28,360.25332363167894,-10.873113015095882,326.36721505787796,376.40759678666865,-15.859987704436818,1838.0195252126234,2199.399828761632,102527.26393253893,109.25064348308413,2768.5780544274235,94.70142857142866,2500.5538736002877,527.0102428176832,8501.289571956142,91245.77635166713,-55.43655650754794,-67.23626462991112,533.13291870885,-55.43655650754794,533.13291870885,-26.09454976938005,-26.510611330685364,0.0,1324.2178301905847,-69.26822887126526,28.851919905799516,35.57996121946576,3.98594739074416,15.530377372439407,189.8905067924835,185.99665698479782,86.97930275837132,2556.588192640477,-40.48446229922048,739.9337805561279,-63.134032333540425,420.99056898574486,70.65149409320009,2317.2918692819417,-16.133942579354475,89.00456605227436,17.23319659704645,77.33533536310486,100.0,2018.3312191400703
2018-03-31,279.1468631820698,-8.957559162918049,222.4357373899723,248.68190355852354,-7.90812078906622,1946.3458339988365,2115.6160103010807,78134.27238250911,-10.826405808881034,1272.8308115315817,-68.43967741935482,401.3225269461481,142.30839230309442,3630.432311918603,70914.12394488571,-54.47877958145902,-66.30714445186608,593.5918070472158,-54.47877958145902,593.5918070472158,8.704135671098644,-25.132399492275283,0.0,1414.2312243348615,-34.349839354135206,-69.64348220169967,34.66538887467474,3.89041471508631,15.613976010536469,171.58932821471473,155.10191212009715,-11.867662274234824,1201.1709900589003,-70.28185153674077,341.3926635848447,-63.899890379712375,440.3371044786518,-22.611157767308153,1055.4351557975444,-18.421781679110627,-0.9663111356682075,34.74619938615619,75.83197892922003,100.0,1337.523438608032
2018-04-30,252.9672712992708,-8.349900596421467,205.03650453566334,233.1533406389244,8.080003194889219,2222.798864487332,2048.1857120095606,58254.656827923056,-19.89368117944329,1316.1799246256728,-60.18133333333332,631.7455336609,149.43467899193243,4354.572382335593,53630.439135196386,-54.17495029821073,-65.85570571446169,690.9829520908955,-54.17495029821073,690.9829520908955,-14.75428689416951,11.893664078579281,0.0,1630.7304287651777,93.76346895480401,-65.07168583476893,33.7866146091188,3.7972246099221563,14.982650223053717,204.89812059709593,180.223577137515,50.281553559457336,2516.4202626928263,-51.38216023779301,737.5775058950558,-67.33956927644807,463.1569794469784,37.0816595167778,2286.8537080850497,-19.749090504105293,-22.01186697645533,-11.885046566963453,74.41351748811627,100.0,1145.8589460845303
2018-05-31,276.84919869545695,-6.390156777138323,199.28448168848115,221.6917627128327,5.850527367352054,2198.9016767495377,2074.829855160938,46337.46085733589,-12.047852659820368,1425.9050692215528,-63.27774193548385,540.7551254162277,172.09685541832917,4634.878385427629,43493.89664023447,-53.19507838856916,-64.89933947153337,706.8189306205962,-53.19507838856916,706.8189306205962,-20.836824670979514,11.419803131590234,0.0,1624.8237889288812,15.4347888772703,22.247852083941222,32.9331432069337,3.6979991762119635,15.149399445463875,208.47076012946638,191.2975425031968,68.40046380807227,2764.145933438802,-66.43772866535562,467.51859466040156,-65.02225166798593,494.7028213882716,-1.7360617224462138,1568.3488570597135,-15.570564109232631,-7.184429489298994,-18.299435808889953,73.07218437454704,100.0,1320.1531855740798
2018-06-30,242.12189743580703,-10.15625,238.94501638941867,275.5677606195622,-28.10049595762254,1357.9367382854884,1924.817552088553,39171.84915331178,-0.6421167573173792,974.9180613046661,-57.84366666666665,355.1929101854995,216.8753674603421,3328.819153167442,35174.93713345343,-55.078125,-66.09231368003377,396.2196648770283,-55.078125,396.2196648770283,-10.378126433703983,-36.14075790736747,0.0,1000.3771743908457,-67.50408002209545,-168.9384692247311,32.06430140467034,3.56571637931391,14.97650658162739,216.96324927111212,176.65234177549084,40.99870817047899,1452.7318817015243,-61.082353236898335,328.4824350949018,-59.1900662035719,346.2794784422707,9.046516384159787,1102.4096023101642,1.9037447501135674,-1.0512436162706362,-4.49271538951197,71.69167670955954,100.0,1070.4739270507687
2018-07-31,273.48967508070484,-1.8174133558748973,247.12009970140073,255.32993116465997,-20.412934232543257,1416.9136500519219,1805.0290685486573,30472.658013619985,-40.07968519101416,589.993143511373,-82.13387096774193,105.85626260784858,99.97387960585438,2219.0295247518966,29872.486408611127,-50.90870667793745,-62.71816731776565,469.1761918824306,-50.90870667793745,469.1761918824306,-19.260232693810952,-29.35910604398294,0.0,1051.8301178192621,-70.64013659904505,1198.0548474972632,31.314155590080993,3.446973317637392,14.6313888075982,231.48399116016827,187.92970168035274,61.56062332256009,1756.707857578653,-51.04204138764018,457.8508411279316,-56.21687722076567,403.54648692831364,41.89647746698881,1526.9654748378218,9.808627249512792,64.44699906348748,22.65296946021438,70.58179752909946,100.0,1294.9453739189048
2018-08-31,231.5482847894968,-6.319485078993559,204.79902889518362,224.54332426478936,-12.568204895892855,1530.3627900517552,1764.239746924245,29831.934773745645,-42.304749355747504,624.7937000576425,-82.11,123.29355227657462,86.72586316567272,2247.5137093775356,27895.139751229373,-53.159742539496776,-64.21402553938927,484.81700211904456,-53.159742539496776,484.81700211904456,-20.715966881331315,-10.724174637101036,0.0,1145.2680998716853,-81.61491018296039,-55.15183409920801,30.494716738317518,3.3846747595546844,14.12416258312279,219.250718545962,184.77106945322313,67.04201248107013,1981.0208652598917,-67.43641261162423,314.2581290017163,-60.69500342175398,391.9775689632525,-5.084301675425307,1108.3235837167817,-3.066062820225468,56.20804089934599,57.61592261652817,69.34402812877704,100.0,999.2426514685727
2018-09-30,209.65370423762653,-6.7327986492190846,185.56149558785046,204.5321518815767,3.499687173592192,1831.838889518986,1766.937347848875,23537.290334164703,-50.96379828714771,632.860347950616,-78.25633333333333,222.7636923805863,58.23621380481831,2265.161336524619,22027.236926719932,-53.36639932460954,-64.15796725541624,590.5901548094489,-53.36639932460954,590.5901548094489,-6.4204137709539815,0.3139320714200311,0.0,1384.5949464585672,-75.89953590984928,-95.5474720797486,29.74962370255314,3.342054382446058,13.884648208782702,220.7788371934344,171.221784387182,41.008119319724635,2016.440977701581,-47.13512465506623,692.9203713863665,-65.62183111665813,408.52554798060214,47.28740784446843,2113.330148134119,-3.4981896632267806,-6.795577910749495,18.568406521440384,68.22902005425755,100.0,858.8541654808347
2018-10-31,220.5515973118946,-6.231263383297647,199.77796634819182,218.6953507065047,20.88710354403407,2186.505754777034,1791.3620055264985,20671.198871746972,-55.59067633692321,685.6971202763124,-79.33354838709677,265.8990230718654,41.56443677853419,2406.451055479719,19363.596697428788,-53.11563169164882,-63.76154586650876,729.8911172321489,-53.11563169164882,729.8911172321489,10.027700544086994,9.927885964016546,0.0,1667.2674553913382,-84.7483037919034,-85.71060414500208,29.03024518800683,3.3002937811156485,13.079367837593225,217.6619597846685,167.35626468475965,20.28062707542928,2035.4969604200776,-60.75722016700675,597.0897070039551,-74.00010760724005,356.66955411289854,7.911404568164304,1820.0367579594274,0.1391143360575775,-51.306772270331805,-31.310752008042364,67.16868480193203,100.0,927.5332653920705
2018-11-30,206.3906016366596,-12.522603978300184,185.81128544973237,227.7296745464804,0.46629342253581285,1779.3250850706524,1765.7130962030117,17509.025386091947,-30.138416453547745,847.8803792623384,-51.642666666666635,538.0230776020122,123.83267027809866,2949.246784657756,15352.024988198116,-56.26130198915009,-66.0070726691638,546.1658886744152,-56.26130198915009,546.1658886744152,-12.358843891851379,-12.158885227467742,0.0,1360.9069347186128,125.19574120529401,-1567.2692314388269,28.334528871063156,3.2585872546363026,9.765778250575519,221.10868183095533,159.11713585407995,47.40385822764432,1942.462949814814,-60.24502577370517,450.416608532253,-65.74850036965896,386.6170066675773,7.030160321784895,1387.1336235307901,-0.42391846089457896,-22.736400821097824,-33.11492275250833,66.10794693817377,100.0,838.7520077127422
2018-12-31,164.99055491852323,-2.7345486883059156,176.24703195117166,184.90603921734828,-24.25475556594099,1272.2090613334326,1712.7126661486814,13727.302375373756,-44.04942745172333,503.4133905393388,-69.66741935483869,227.2245814535737,69.89514626737315,1728.067516438093,13254.04957451726,-51.36727434415296,-62.00433162510317,423.6338498147859,-51.36727434415296,423.6338498147859,-6.539587778943423,-29.462080450437867,0.0,971.9076355419196,34.937862981730184,359.8416114941033,27.67896989699663,3.219724708681704,10.510491551400115,203.66198478025458,132.252441409837,40.14299254338552,1393.8294789211761,-57.95448188258258,351.67509040352786,-58.417468963431475,344.0265003104771,0.23150621318275277,974.4064519871616,18.098898599263237,85.89531788785038,35.39088740806058,65.18872545381682,100.0,602.1999419602688
2019-01-31,148.05536756373954,-0.13242109909512578,166.21641437157518,163.6839912494852,2.3401022702304486,1765.9382627368727,1724.6868888609742,13520.33920500751,-55.94999545670707,542.0895597433341,-80.30967741935484,186.79179453592653,41.42604717214557,1967.4012108250968,13525.55487411984,-50.06621054954756,-60.78962132900024,629.4392399491254,-50.06621054954756,629.4392399491254,30.606352969939365,5.355310376697098,0.0,1365.0914602054565,2.3948617958243545,-102.80378278814585,27.040106237519556,3.1815646506549555,10.897501103290374,219.262540110386,133.2936028229375,-6.170456189525453,1299.7975110254163,-74.97903811048026,273.04824928045036,-46.44815588634237,706.5432095048427,-41.11986649269521,781.92721538279,-5.22362274878555,-33.62527804087973,-1.569558874653132,64.3217846723453,100.0,515.3146537718192
