time,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2010-12-31,833.5149700598803,31630.0,37882060.0,1297.5624095857145,7.090611319820359,633160.2863005816,154187.87258922606,3649.642888558097,0.0006115038082750544,6.048042174696893e-05,0.0,0.0,30.24957093999999,3.502707873006844,0.0329518805202275,1581500.0,82.59130400791182,223402.89544693168,1581500.0,223402.89544693168,147.95099140640718,74.65316293906743,1.0,0.14085504543688784,0.0,42.31342663909498,5020600.0,18325187.5,5020599.97,99303.0,96796.0,7554262.13177762,1105034.4015878804,195.39238057454105,27.108393877219562,13.302784431137727,1.8269679591709866,12898543.680542862,1935702.753076054,0.0,0.05972725578658908,0.05021832913143482
2011-12-31,12295.013698630137,59627.0,801807351.0,14204.73366541517,2.4792475790958886,38612011.92686614,26102719.875237923,862156.7432218919,0.0015425259619233102,0.010471304888896128,5.780821917808219e-06,7.289454992698334e-05,3086.697699019999,30123.769672697086,6.313715323203237,2981350.0,46.58089798300805,17588533.154607117,2981350.0,17588533.154607117,61.03992926643834,78.11120324372652,1.0,5.641327596037724,3432.653005958251,65.25054769241338,8001949.98999999,18722762.5,7999337.59489766,1842308.0,4456765.0,70181087.8357682,467369606.73353016,69.0416637045577,348.42681405893023,1.150084418863013,4.115153367618787,292653598.58926034,2509708955.633104,0.08867040284822586,0.08265418779243591,0.08759264129532555
2012-12-31,30146.677595628415,54526.0,3797173308.0,70341.26660396946,1.4238343563934421,79932734.72467615,53535155.95680245,2121159.2450592252,0.0009432270339199498,0.00747322770784673,0.00034426229508196745,0.003335566660071604,6798.407369119997,65092.285396930805,15.637864521353954,2612100.0,28.160780627860493,21074810.360552356,2612100.0,21074810.360552356,38.015497117349724,40.27562678702434,1.0,8.291235146822396,316.270455513565,14.727274858410116,10614039.91451183,19063550.0,10611425.72610712,8400439.0,17958806.0,102838080.64351931,910503791.9772056,48.716734174203296,419.35328719794006,0.3198909055464476,1.9262082440071706,898820800.0677261,8810182112.758884,0.05138609494010464,0.03521867738695293,0.039004150114437655
2013-12-31,82843.40821917808,63433.0,9385366450.0,150010.575710115,2.68597091879452,2228717949.909296,748920208.1112818,163781809.16764423,0.0007883390299187804,0.1032968680951752,0.0004299539726027381,0.04818011843174596,15273.863722280012,2169151.6880030767,1466.344208878351,1585825.0,13.92202783560158,306103467.075814,1585825.0,306103467.075814,40.39201942213697,55.59924060142089,1.0,188.85789842361464,1876.5101284687107,58.9808236140341,12199864.79395749,19460006.25,12197250.54852525,19579185.0,44441125.0,118096320.56635633,21979551361.699203,8.829844483521303,1518.8341270031185,0.04896989831506847,9.281767723633067,386920266.6195378,81361312082.99591,0.06363453911514678,0.05802494767464998,0.058481787642632135
2014-12-31,181478.96986301368,58865.0,14520685806.0,251678.52044078655,1.5945080421369853,6757826725.213266,4324091842.276349,18342460594.913467,0.00018652422774018696,0.10064788741549405,0.00010000000000000005,0.052517353725657856,4636.3408103699985,2439677.879761824,140749.19851363698,1471625.0,11.386968366521737,782389401.5406566,1471625.0,782389401.5406566,83.78805086720548,66.82514928273973,1.0,525.1735372565786,938.3265207337989,-4.948156931024799,13671489.78525033,19757706.25,12577279.08294749,25204293.0,70168669.0,65126224.63289703,34351957417.21867,3.2070213893101402,1725.3618377030368,0.03191323995890412,16.619880624090232,220299907.03801972,115073703714.4298,0.05160191214765624,0.03909961820650193,0.04384574076134345
2015-12-31,301076.1260273973,54321.0,26040907337.0,480174.2882215752,0.9362837295068492,3928210922.954303,4179607983.403252,54362600002.506485,0.00017774719570233443,0.04862894875552415,0.00010142208219178092,0.027671800108979402,8200.632985980003,2337579.8295975607,404544.2610386079,1358025.0,9.46909204082798,373032540.0133668,1358025.0,373032540.0133668,54.089005536301315,53.98617446986946,1.0,272.8801172834329,-42.17966092392662,3.698571718682923,15029511.13374743,19927459.375,13044901.18359781,45622917.0,132751383.0,113921189.34860267,32413306928.140415,3.8974979621086376,1127.8935097190495,0.024359830205479417,6.906547645816029,491409876.1028475,149167009150.1593,0.03521372954964155,0.03238597996625544,0.033617196858067785
2016-12-31,515345.18032786885,54851.0,42581502034.0,781662.3724590194,1.609994652240436,8926093672.240267,5458428985.769508,204647551574.7328,0.0002678316415229401,0.15840706873844027,0.0001403842622950816,0.08426230312756484,22556.800341015147,13623062.04536655,1518670.3264223172,1045800.0,6.707816114421479,557737232.2562504,1045800.0,557737232.2562504,39.12793869729511,39.59365824111589,1.0,568.1977478119564,109.56344218898667,6.509552750647996,16075311.10057381,20098868.75,13362390.34763332,82573966.0,189118466.0,158215579.16918042,87940196567.396,4.782688514440274,2426.564664942446,0.025398411188524584,14.308968966132161,904290597.6106281,462616528773.7696,0.02950168247604548,0.023457410821995556,0.02520656827309555
2017-12-31,755832.0794520548,55928.0,52927326471.0,949289.64840216,2.7053484930684943,66264355007.426796,22179300452.14413,829120394701.6567,0.0009556194335001546,4.8745783380846195,0.0005626489315068495,2.910384707003131,100383.49280917086,553772695.1216167,6314912.6203575265,699100.0,4.2567436099481535,2830498207.2029104,699100.0,2830498207.2029104,37.716457327232845,49.49843091530649,1.0,3994.4891099816655,514.9837105576393,31.43220717647418,16774398.58618491,20273643.75,13984658.33994075,104011142.0,249039359.0,169343891.3022231,671309998444.0991,2.599866285453265,10133.203210863543,0.021645383616438363,75.88716107448965,637092161.7202128,2763895709227.523,0.039583386746285885,0.04432022367947944,0.043977095444834746
2018-12-31,665700.9561643836,54498.0,47990306897.0,888150.1539493857,1.4532957796438353,128361035910.15092,87811412092.10843,4970595666722.329,0.0002775819701057062,2.8976760731658597,0.00011501717808219199,1.3005128427003834,25690.61113321723,283620302.61089337,36351672.8445613,681225.0,3.980584411406687,5191642165.157718,681225.0,5191642165.157718,72.79472560852057,57.50069257076396,1.0,7519.170891001815,341.18279965716135,-8.840312509942171,17455617.32738074,20393850.0,13899212.9383567,81340467.0,201799448.0,96728876.26379846,753469951601.0009,1.31020078678011,10096.028805393958,0.012467275753424658,98.98515812206965,266387367.30222213,2117775303287.552,0.04699224852308536,0.041815516636763785,0.04306463032251726
2019-12-31,716083.4712328768,54232.0,58038165691.0,1074396.9812894831,1.4363367343561648,131411700105.77757,89672532551.44966,8995567811575.621,0.0001586116842089018,1.2428406873507176,8.027783561643837e-05,0.640039311019442,19787.646871430003,155490286.60691535,66343697.46342827,677900.0,3.8098464092231197,5021708493.745254,677900.0,5021708493.745254,77.1644368473698,72.75018983906611,1.0,7365.207125002205,13.57991780510106,7.811765307949252,18133517.32139018,20478587.5,14171086.25978286,119729234.0,259230478.0,93276794.54539478,673084650256.4928,0.9782308989728027,7063.936383800347,0.010867523178082178,73.88860804655609,256533080.57886866,1887380919268.5237,0.03853969589050569,0.03554426915735662,0.0372227652516036
2020-12-31,893487.6776859504,52732.0,62353712429.0,1188251.6920604953,1.7510999228749988,202304719345.7757,112673524385.90369,16573446555994.309,0.000233483279970671,2.8345930228166707,0.00012400330578512395,1.4985910718397777,25989.210746779998,316761138.8782697,119296962.13550572,450225.0,2.465936520735536,4599260140.367831,450225.0,4599260140.367831,86.19875347037323,88.1054641517848,1.0,10976.525616544863,64.74535978735835,11.381647265576762,18583733.94247703,20560981.25,14498311.77015781,111484191.0,278095302.0,87326164.09352763,971446220204.5653,0.7575932843253058,8034.120618218397,0.009657703002754816,100.7352428107937,209911002.41237384,2277208739811.885,0.03963995887517002,0.03480466016694646,0.036178442183326755
