time,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,block_height,halving_period
2010-07-31,866.5,2657.0,3397877.0,1288.5523714125745,31.873867080000004,230519.88728561412,11983.797440016488,203.70967728344908,0.001545353367723178,9.892009835532049e-05,0.0,0.0,8.48,0.5072135449444769,0.0019090000546760444,132850.0,98.67714610545197,8676.998346639393,132850.0,8676.998346639393,150.97511388928572,0.0,1.0,0.06573915254237289,0.0,0.0,3572050.0,17963025.0,3572049.97,8184.0,8593.0,428444.56999999995,27002.25827062975,93.87810420674316,5.996631740657101,5.012500000000001,0.34924307818026223,513410.16,32421.433668093487,0.0,0.0,0.0,71441.0,0.0
2010-08-31,624.4193548387096,6016.0,3964063.0,683.2053317160572,7.495971571612901,240887.0237023943,33519.89973940027,437.27522173842544,0.001670024357693677,0.00011055494205056349,0.0,0.0,10.970001400000003,0.7301723267572532,0.004086679908708913,300800.0,95.06649027484947,19353.703711484515,300800.0,19353.703711484515,203.2127506880645,0.0,1.0,0.06449807705360006,0.0,0.9288611903927145,3872850.0,18038225.0,3872849.97,5956.0,9199.0,798241.5000003997,51542.947329173796,146.67871261147968,9.353435846917913,15.02209677419355,0.9816466276842445,1192671.8199874999,76336.40648713295,0.0,0.031247447314693127,0.0,77457.0,0.0
2010-09-30,745.8333333333334,5545.0,4190418.0,760.6135352545716,4.4927943919999995,247847.68656931224,55989.64065944471,801.9291737390314,0.0002626339632207546,1.6201992305870577e-05,0.0,0.0,1.9796044199999998,0.12224663566073937,0.007410095085690547,277250.0,84.02366946848566,17137.41303223261,277250.0,17137.41303223261,160.79587901333332,0.0,1.0,0.0618093855250341,0.0,-4.070335664301077,4150100.0,18107537.5,4150099.97,7636.0,11857.0,1091679.4275003301,67472.9344983431,150.86633200356746,9.30922253079405,12.318499999999995,0.7599989701101694,1431966.7498232597,88476.35992179444,0.0,0.029914067015670853,0.024246503355204337,83002.0,0.0
2010-10-31,823.0645161290323,5895.0,4630511.0,816.0654815132514,4.246733359354839,470424.2461232953,107219.44648931753,1656.9957256055911,0.00011006991266687993,9.722907163535237e-06,0.0,0.0,1.0033037,0.08046625212914246,0.015893158991821758,294750.0,80.6933132919302,33575.18775838691,294750.0,33575.18775838691,77.49074002870967,93.60239745049573,1.0,0.10890799903847966,0.0,76.13118710905928,4444850.0,18181225.0,4444849.97,8490.0,13954.0,2431647.9542768896,247695.2957687847,379.16431764143533,39.366132642489845,18.837903225806457,1.70002820317066,4882093.218122369,499066.3870482018,0.0,0.048348231162939424,0.04296411847610198,88897.0,0.0
2010-11-30,953.6333333333333,5909.0,16576660.0,3332.9917172167866,4.691297996666665,1197047.9693974878,262026.69547595174,5080.802689264969,0.00033853485541299904,9.106704634826724e-05,0.0,0.0,5.09,1.3931858043483347,0.04816328957807314,295450.0,78.21163332548048,76764.91760639979,295450.0,76764.91760639979,128.23909900066667,188.6190522445267,1.0,0.25993445034093127,0.0,163.07033765887434,4740200.0,18255087.5,4740199.97,57514.0,33144.0,1633150.5799999996,427110.3684315273,225.94450868604437,58.5619098219478,21.426833333333327,5.744657963868107,2561326.8221757608,669958.5618343303,0.0,0.12365588391742124,0.09491806416707575,94806.0,0.0
2010-12-31,1006.7741935483871,5608.0,5122531.0,947.3431102189998,3.172623444193549,1197192.591825747,376715.8626157541,11781.744246756452,0.00023445812560063495,5.7053695790584875e-05,0.0,0.0,2.7266614199999997,0.669423309166897,0.10289230646074733,280400.0,67.6017654663159,67894.67499178843,280400.0,67894.67499178843,168.42923928322574,126.02684911364796,1.0,0.24434003282366476,0.0,-2.984493819075798,5020600.0,18325187.5,5020599.97,11523.0,20049.0,1171098.0999999999,284210.5972894216,119.70241737178138,28.92607546363135,2.882903225806452,0.707826397134858,2317074.91043398,569443.6041165004,0.0,0.09354474695358082,0.11224633117813082,100414.0,0.0
2011-01-31,1606.774193548387,5161.0,11034204.0,2152.38619716863,3.5890523438709683,1905721.0106266984,530402.1763401259,17842.010768770768,0.00023303708202783105,9.397056374930735e-05,0.0,0.0,8.41068051,3.566059020911352,0.1475267161056883,258050.0,58.96539626394969,95434.94441104616,258050.0,95434.94441104616,134.1197533787097,155.4418282283179,1.0,0.3689957915009143,0.0,49.41980444268945,5278650.0,18382350.0,5278649.97,29788.0,50985.0,2328389.8600610704,920799.3488822525,69.7635758097697,27.00651939971662,1.5091935483870969,0.5695342993380592,3426955.7228457103,1367700.011676974,0.046198004683928734,0.06037117493245478,0.07793597421546916,105575.0,0.0
2011-02-28,2867.9285714285716,5566.0,14885082.0,2660.7781628670004,4.835539438571429,5004840.399471945,1051078.9502816948,30001.246460093702,0.0003127078006597231,0.00029074279303483656,0.0,0.0,13.137317909999998,12.55474174200568,0.2991121263838756,278300.0,66.91361013004936,258811.73161423154,278300.0,258811.73161423154,88.14685791071429,202.33323040439106,1.0,0.9236703238290056,0.0,159.83946607161883,5556950.0,18417137.5,5556949.97,41589.0,75828.0,1908655.9069258897,1752042.3100722628,57.899052623723094,52.45367322413108,2.7726785714285715,2.4865660795033193,4237665.250835929,3924958.292437983,0.08205391206431255,0.08682852181919479,0.07479728361648876,111141.0,0.0
2011-03-31,3915.0967741935483,4902.0,27098048.0,5897.768933063088,2.957049209677419,4855304.682636729,1650707.5175403506,68844.60165138525,0.0017555198965114591,0.0014955911545077134,0.0,0.0,130.7963255,110.68007755878166,0.5278768611393381,245100.0,50.78167254931085,210054.8554686148,245100.0,210054.8554686148,65.79310593645162,92.53970972426842,1.0,0.8539480755830396,0.0,-0.6599744164182986,5802050.0,18447775.0,5802049.97,78326.0,138767.0,3550104.1979276994,3111204.753801665,74.80261447505973,66.90802704379814,1.6629032258064518,1.42217230558304,9082638.595488092,8064282.416014712,0.08377077905704775,0.05130099890436605,0.07252199449264521,116043.0,0.0
2011-04-30,4845.733333333334,5088.0,29029473.0,5714.933316665514,3.3561934649999996,7466638.753678108,2111650.5247069607,84935.3640289998,0.0023871540530469235,0.0029685278018072663,0.0,0.0,162.77588569000002,229.77077560240784,0.7158629887725455,254400.0,52.17254133810184,324963.25333042094,254400.0,324963.25333042094,75.18832556266668,91.7460865969665,1.0,1.2518308220826033,0.0,50.34838083800708,6056450.0,18479575.0,6056449.97,68885.0,145087.0,3435125.15420636,5409355.674370418,85.83508773270319,107.06010023287396,1.5950000000000002,1.9124634053168232,13554369.570830008,17953748.16977017,0.08393009764167683,0.05218408180706509,0.053358434649747544,121131.0,0.0
2011-05-31,9833.548387096775,6739.0,56834579.0,8661.966421763662,4.994637245806452,38850883.01458699,7885616.081728639,212297.22538043367,0.003109415365699693,0.020015511118849492,0.0,0.0,417.08251476000004,2827.5353146038588,2.2241542944725654,336950.0,63.690421655727306,2106952.198654121,336950.0,2106952.198654121,53.500230575806455,144.99727269731,1.0,6.208499431684926,0.0,424.694534845083,6393399.98999999,18521693.75,6393396.96894086,129982.0,310698.0,5450178.871359658,34092091.757570386,38.989792709915896,240.50407428436534,1.1261984616129033,6.526035111199718,11510936.097545661,75481834.9773962,0.08220283928699174,0.11348437373203683,0.09230249844881715,127870.0,0.0
2011-06-30,24097.933333333334,6256.0,133611873.0,21863.751303534395,3.9505855609999996,118186403.18456475,34723277.0090137,808784.5174883668,0.002726291457368773,0.049859148047654546,0.0,0.0,843.3085808300001,15792.42383704583,8.102912816786246,312800.0,58.06811365630609,5661662.379214599,312800.0,5661662.379214599,26.810007040666665,112.03217913069685,1.0,18.025088446814728,0.0,219.89660821611687,6706199.98999999,18560793.75,6706196.96894086,311290.0,749533.0,10081071.29255668,182890123.6057312,94.86162595460057,1677.8460341946536,0.7904428583333333,14.39946862026802,72742831.63868608,1293155413.0867476,0.093272861739688,0.1438445379819818,0.12931638290631903,134126.0,0.0
2011-07-31,25022.967741935485,4914.0,116938396.0,23957.92302022017,1.9779599425806456,95799240.8409767,48446805.335166045,1578815.0539358063,0.0014370578257981925,0.020231397718076097,3.2258064516129034e-05,0.00046965975371410804,381.38248206,5375.99906421522,12.438344362802011,245700.0,42.34177303928878,3446761.0340874926,245700.0,3446761.0340874926,42.54958194935484,32.92860533161856,1.0,14.025722259082599,9610.913654500406,-17.786509868699458,6951899.98999999,18591506.25,6951896.96894086,262425.0,765977.0,5579911.958035401,78483572.48371767,48.61098255093176,678.5884891375782,0.26594705661290324,3.7118237944157473,37421662.170778885,523479906.2054864,0.09696693077701403,0.07182678658080284,0.11901581124140521,139040.0,0.0
2011-08-31,20764.612903225807,4373.0,103595047.0,23792.539279909914,1.474641141935484,70683598.90699892,47890666.060632326,1841661.0880040913,0.0010637024577636195,0.010393413467606031,3.580645161290323e-05,0.0003886147857487603,244.60389744999998,2414.411997962836,12.906765788073994,218650.0,36.44319960474875,2199794.9233413357,218650.0,2199794.9233413357,55.75539048225807,21.00816056100348,1.0,10.007244984191477,15437.123262553869,-28.189002424619023,7170549.98999999,18618837.5,7170546.96794085,231937.0,613773.0,5009761.353859428,48401332.94165243,27.607699562886264,267.6064893658927,0.4054210819354839,3.9810052814393084,17098914.1260033,166699928.5281569,0.09975853325530665,0.09915257567395826,0.08974266061939629,143413.0,0.0
